num,smiles,energy
316,CC1(CCOC(=O)C1)O,12.52223
317,CCCCCCC(=O)O,-2.644942
318,CC(=O)NCCCCN,5.802618
319,C(CCN=C(N)N)CN,6.689233
320,CC(C(=O)O)NC(=O)C,9.681031
321,C(CC(=O)O)C(=O)CN,7.764655
322,CCC(=O)NCC(=O)O,7.442276
323,CN(CC(=O)O)C(=N)N,8.4596
324,C(CCC(=O)O)CCN,3.924004
325,CCC(C)C(C(=O)O)N,1.833255
326,C(CN)CNCCCN,9.017375
327,CCC(C(=O)O)C(=O)O,5.052258
328,C(CNC(=O)N)C(=O)O,13.31489
329,C(C(=O)NCC(=O)O)N,11.03638
330,C1=CC=C(C=C1)C=CC=O,4.307951
331,CCC(CC)(C(=O)O)O,6.854482
332,CCC(C)C(C(=O)O)O,0.09028372
333,C1=CC=C2C(=C1)C(=CN2)O,6.398831
334,C(CS)C(C(=O)O)N,4.780123
335,C1CC2=C(C=CN2)C(=O)C1,4.897774
336,C1=CC=C(C=C1)CNC=O,8.596245
337,CNCCC1=CC=CC=C1,5.749688
338,CC1=CC=CC=C1C(=O)O,4.902397
339,COC1=CC=C(C=C1)C=O,12.83479
340,C1=CC=C(C=C1)CC(=O)O,5.662613
341,CNC(=O)C1=CN=CC=C1,11.53379
342,C1=CC=C(C(=C1)C(=O)O)N,7.821192
343,C1=CC=C(C(=C1)C(=O)N)O,8.696241
344,C[N+]1=CC=CC(=C1)C(=O)N,19.25534
345,C1=CC(=C(C=C1C=O)O)O,9.51983
346,C1=CC(=CC=C1[N+](=O)[O-])O,5.392856
347,C1=CC(=O)NC=C1C(=O)O,10.95913
348,CC(=O)OP(=O)(O)O,7.753241
349,C(C(=O)O)P(=O)(O)O,6.51481
350,CCC1=C(C(=O)C=CO1)O,3.560089
351,CN1C=CC(=O)N(C1=O)C,7.556902
352,C(COP(=O)(O)O)N,8.710745
353,C1=C(NC=N1)CC(CO)N,9.721305
354,C1=C(OC(=C1)C(=O)O)CO,9.910267
355,C1=C(C(=O)NC(=O)N1)CO,19.0397
356,CC1=NCCC(N1)C(=O)O,9.40311
357,C=CCC(=O)NCC(=O)O,9.481408
358,C[N+]1(CCCC1C(=O)[O-])C,20.81537
359,C(C=CCC(=O)O)C(=O)O,7.012234
360,CC(=CC(=O)O)CC(=O)O,4.915563
361,CCCCCCCC(=O)O,-1.833658
362,CCCC(CCC)C(=O)O,-1.678641
363,C1=CC2=C(C(=C1)O)N=CC=C2,7.190057
364,CC(=O)NCCCC(=O)O,8.026956
365,CCCC(=O)NCC(=O)O,6.99374
366,C(CC(=O)O)CN=C(N)N,7.104641
367,C[N+](C)(C)CCCC(=O)[O-],22.0441
368,C(CCNCCCN)CN,7.615172
369,C1=CC=C(C=C1)C#CC(=O)O,7.902377
370,CC(CCC(=O)O)C(=O)O,1.433343
