smiles,substructure,average_contribution
C(C(=O)O)C(=O)O,c1ccccc1S(=O)(=O)O,0.0
C(C(=O)O)C(=O)O,c1ccccc1[N+](=O)[O-],0.0
C(C(=O)O)C(=O)O,c1ccccc1,0.0
C(C(=O)O)C(=O)O,Cc1ccccc1,0.0
C(C(=O)O)C(=O)O,C=CC1=CC=CC=C1,0.0
C(C(=O)O)C(=O)O,Nc1ccccc1,0.0
C(C(=O)O)C(=O)O,c1ccc2ccccc2c1,0.0
C(C(=O)O)C(=O)O,Oc1ccc2ccccc2c1,0.0
C(C(=O)O)C(=O)O,Nc1ccc2cccc(c2)c1,0.0
C(C(=O)O)C(=O)O,n1ccccc1,0.0
C(C(=O)O)C(=O)O,o1cccc1,0.0
C(C(=O)O)C(=O)O,s1cccc1,0.0
C(C(=O)O)C(=O)O,n1cccc1,0.0
CC(C)(C(=O)O)O,C,0.5181365013122559
CC(C)(C(=O)O)O,CC,0.5020589232444763
CC(C)(C(=O)O)O,C=C,0.0
CC(C)(C(=O)O)O,C#C,0.0
CC(C)(C(=O)O)O,CO,0.6110350489616394
CC(C)(C(=O)O)O,CCO,0.566684901714325
CC(C)(C(=O)O)O,c1ccccc1O,0.0
CC(C)(C(=O)O)O,COC,0.0
CC(C)(C(=O)O)O,C=O,0.6487767696380615
CC(C)(C(=O)O)O,CC=O,0.5891523957252502
CC(C)(C(=O)O)O,CC(=O)C,0.0
CC(C)(C(=O)O)O,C(=O)O,0.656050980091095
CC(C)(C(=O)O)O,CC(=O)O,0.6095141768455505
CC(C)(C(=O)O)O,COC(=O)C,0.0
CC(C)(C(=O)O)O,CN,0.0
CC(C)(C(=O)O)O,CCN,0.0
CC(C)(C(=O)O)O,CC(=O)N,0.0
CC(C)(C(=O)O)O,CC#N,0.0
CC(C)(C(=O)O)O,CCl,0.0
CC(C)(C(=O)O)O,CCBr,0.0
CC(C)(C(=O)O)O,c1ccccc1S(=O)(=O)O,0.0
CC(C)(C(=O)O)O,c1ccccc1[N+](=O)[O-],0.0
CC(C)(C(=O)O)O,c1ccccc1,0.0
CC(C)(C(=O)O)O,Cc1ccccc1,0.0
CC(C)(C(=O)O)O,C=CC1=CC=CC=C1,0.0
CC(C)(C(=O)O)O,Nc1ccccc1,0.0
CC(C)(C(=O)O)O,c1ccc2ccccc2c1,0.0
CC(C)(C(=O)O)O,Oc1ccc2ccccc2c1,0.0
CC(C)(C(=O)O)O,Nc1ccc2cccc(c2)c1,0.0
CC(C)(C(=O)O)O,n1ccccc1,0.0
CC(C)(C(=O)O)O,o1cccc1,0.0
CC(C)(C(=O)O)O,s1cccc1,0.0
CC(C)(C(=O)O)O,n1cccc1,0.0
C[N+](C)(C)CCO,C,0.9821097254753113
C[N+](C)(C)CCO,CC,0.9552743434906006
C[N+](C)(C)CCO,C=C,0.0
